Year,Gebietseinheit,GeoCode,Value
Veränderung aktuelles Jahr (2020) zu 2019,Cuxhaven,K03352,35
Veränderung aktuelles Jahr (2020) zu 2019,Harburg,K03353,-3
Veränderung aktuelles Jahr (2020) zu 2019,Lüchow-Dannenberg,K03354,7
Veränderung aktuelles Jahr (2020) zu 2019,Lüneburg,K03355,105
Veränderung aktuelles Jahr (2020) zu 2019,Osterholz,K03356,42
Veränderung aktuelles Jahr (2020) zu 2019,Rotenburg (Wümme),K03357,19
Veränderung aktuelles Jahr (2020) zu 2019,Heidekreis,K03358,46
Veränderung aktuelles Jahr (2020) zu 2019,Stade,K03359,99
Veränderung aktuelles Jahr (2020) zu 2019,Uelzen,K03360,28
Veränderung aktuelles Jahr (2020) zu 2019,Verden,K03361,72
Veränderung aktuelles Jahr (2020) zu 2019,Statistische Region Lüneburg,K033,618
Veränderung aktuelles Jahr (2020) zu 2019,Delmenhorst  Stadt,K03401,32
Veränderung aktuelles Jahr (2020) zu 2019,Emden  Stadt,K03402,-6
Veränderung aktuelles Jahr (2020) zu 2019,Oldenburg(Oldb)  Stadt,K03403,-7
Veränderung aktuelles Jahr (2020) zu 2019,Osnabrück  Stadt,K03404,98
Veränderung aktuelles Jahr (2020) zu 2019,Wilhelmshaven  Stadt,K03405,16
Veränderung aktuelles Jahr (2020) zu 2019,Ammerland,K03451,54
Veränderung aktuelles Jahr (2020) zu 2019,Aurich,K03452,-2
Veränderung aktuelles Jahr (2020) zu 2019,Cloppenburg,K03453,27
Veränderung aktuelles Jahr (2020) zu 2019,Emsland,K03454,110
Veränderung aktuelles Jahr (2020) zu 2019,Friesland,K03455,50
Veränderung aktuelles Jahr (2020) zu 2019,Grafschaft Bentheim,K03456,34
Veränderung aktuelles Jahr (2020) zu 2019,Leer,K03457,49
Veränderung aktuelles Jahr (2020) zu 2019,Oldenburg,K03458,66
Veränderung aktuelles Jahr (2020) zu 2019,Osnabrück,K03459,130
Veränderung aktuelles Jahr (2020) zu 2019,Vechta,K03460,60
Veränderung aktuelles Jahr (2020) zu 2019,Wesermarsch,K03461,29
Veränderung aktuelles Jahr (2020) zu 2019,Wittmund,K03462,29
Veränderung aktuelles Jahr (2020) zu 2019,Statistische Region Weser-Ems,K034,769
Veränderung aktuelles Jahr (2020) zu 2019,Niedersachsen,K030,2462
