Year,AGS,Nationalität,Gebietseinheit,GeoCode,Value
2009,252,Ausländerinnen und Ausländer,Hameln-Pyrmont,K03252,39
2009,254,Ausländerinnen und Ausländer,Hildesheim,K03254,82
2009,255,Ausländerinnen und Ausländer,Holzminden,K03255,14
2009,256,Ausländerinnen und Ausländer,Nienburg (Weser),K03256,19
2009,257,Ausländerinnen und Ausländer,Schaumburg,K03257,6
2009,2,Ausländerinnen und Ausländer,Statistische Region Hannover,K032,615
2009,351,Ausländerinnen und Ausländer,Celle,K03351,32
2009,352,Ausländerinnen und Ausländer,Cuxhaven,K03352,47
2009,353,Ausländerinnen und Ausländer,Harburg,K03353,58
2009,354,Ausländerinnen und Ausländer,Lüchow-Dannenberg,K03354,10
2009,355,Ausländerinnen und Ausländer,Lüneburg,K03355,29
2009,356,Ausländerinnen und Ausländer,Osterholz,K03356,22
2009,357,Ausländerinnen und Ausländer,Rotenburg (Wümme),K03357,11
2009,358,Ausländerinnen und Ausländer,Heidekreis,K03358,22
2009,359,Ausländerinnen und Ausländer,Stade,K03359,48
2009,360,Ausländerinnen und Ausländer,Uelzen,K03360,21
2009,361,Ausländerinnen und Ausländer,Verden,K03361,19
2009,3,Ausländerinnen und Ausländer,Statistische Region Lüneburg,K033,319
2009,401,Ausländerinnen und Ausländer,"Delmenhorst, Stadt",K03401,24
2009,402,Ausländerinnen und Ausländer,Emden  Stadt,K03402,17
2009,403,Ausländerinnen und Ausländer,"Oldenburg(Oldb), Stadt",K03403,101
2009,404,Ausländerinnen und Ausländer,"Osnabrück, Stadt",K03404,49
2009,405,Ausländerinnen und Ausländer,"Wilhelmshaven, Stadt",K03405,14
2009,451,Ausländerinnen und Ausländer,Ammerland,K03451,19
2009,452,Ausländerinnen und Ausländer,Aurich,K03452,30
2009,453,Ausländerinnen und Ausländer,Cloppenburg,K03453,24
2009,454,Ausländerinnen und Ausländer,Emsland,K03454,85
2009,455,Ausländerinnen und Ausländer,Friesland,K03455,18
2009,456,Ausländerinnen und Ausländer,Grafschaft Bentheim,K03456,92
2009,457,Ausländerinnen und Ausländer,Leer,K03457,36
2009,458,Ausländerinnen und Ausländer,Oldenburg,K03458,24
2009,459,Ausländerinnen und Ausländer,Osnabrück,K03459,69
2009,460,Ausländerinnen und Ausländer,Vechta,K03460,63
2009,461,Ausländerinnen und Ausländer,Wesermarsch,K03461,19
2009,462,Ausländerinnen und Ausländer,Wittmund,K03462,9
2009,4,Ausländerinnen und Ausländer,Statistische Region Weser-Ems,K034,693
