Year,Gebietseinheit,Units,GeoCode
2014,"Diepholz",%,K03251
2014,"Hameln-Pyrmont",%,K03252
2014,"Hildesheim",%,K03254
2014,"Holzminden",%,K03255
2014,"Nienburg (Weser)",%,K03256
2014,"Schaumburg",%,K03257
2014,"Statistische Region Hannover",%,K032
2014,"Celle",%,K03351
2014,"Cuxhaven",%,K03352
2014,"Harburg",%,K03353
2014,"Lüchow-Dannenberg",%,K03354
2014,"Lüneburg",%,K03355
2014,"Osterholz",%,K03356
2014,"Rotenburg (Wümme)",%,K03357
2014,"Heidekreis",%,K03358
2014,"Stade",%,K03359
2014,"Uelzen",%,K03360
2014,"Verden",%,K03361
2014,"Statistische Region Lüneburg",%,K033
2014,"Delmenhorst, Stadt",%,K03401
2014,"Emden  Stadt",%,K03402
2014,"Oldenburg(Oldb), Stadt",%,K03403
2014,"Osnabrück, Stadt",%,K03404
2014,"Wilhelmshaven, Stadt",%,K03405
2014,"Ammerland",%,K03451
2014,"Aurich",%,K03452
2014,"Cloppenburg",%,K03453
2014,"Emsland",%,K03454
2014,"Friesland",%,K03455
2014,"Grafschaft Bentheim",%,K03456
2014,"Leer",%,K03457
2014,"Oldenburg",%,K03458
2014,"Osnabrück",%,K03459
2014,"Vechta",%,K03460
2014,"Wesermarsch",%,K03461
2014,"Wittmund",%,K03462
2014,"Statistische Region Weser-Ems",%,K034
2014,"Niedersachsen",%,K030
2015,"Braunschweig, Stadt",%,K03101
2015,"Salzgitter, Stadt",%,K03102
2015,"Wolfsburg, Stadt",%,K03103
2015,"Gifhorn",%,K03151
2015,"Goslar",%,K03153
2015,"Helmstedt",%,K03154
2015,"Northeim",%,K03155
2015,"Peine",%,K03157
2015,"Wolfenbüttel",%,K03158
2015,"Göttingen",%,K03159
2015,"Statistische Region Braunschweig",%,K031
2015,"Hannover  Region",%,K03241
2015,"dav. Hannover, Lhst.",%,K03241001
2015,"dav. Hannover, Umland",%,K03241999
2015,"Diepholz",%,K03251
2015,"Hameln-Pyrmont",%,K03252
2015,"Hildesheim",%,K03254
2015,"Holzminden",%,K03255
2015,"Nienburg (Weser)",%,K03256
2015,"Schaumburg",%,K03257
2015,"Statistische Region Hannover",%,K032
2015,"Celle",%,K03351
2015,"Cuxhaven",%,K03352
2015,"Harburg",%,K03353
2015,"Lüchow-Dannenberg",%,K03354
2015,"Lüneburg",%,K03355
2015,"Osterholz",%,K03356
2015,"Rotenburg (Wümme)",%,K03357
2015,"Heidekreis",%,K03358
2015,"Stade",%,K03359
2015,"Uelzen",%,K03360
2015,"Verden",%,K03361
2015,"Statistische Region Lüneburg",%,K033
2015,"Delmenhorst, Stadt",%,K03401
2015,"Emden  Stadt",%,K03402
2015,"Oldenburg(Oldb), Stadt",%,K03403
2015,"Osnabrück, Stadt",%,K03404
2015,"Wilhelmshaven, Stadt",%,K03405
2015,"Ammerland",%,K03451
2015,"Aurich",%,K03452
2015,"Cloppenburg",%,K03453
2015,"Emsland",%,K03454
2015,"Friesland",%,K03455
2015,"Grafschaft Bentheim",%,K03456
2015,"Leer",%,K03457
2015,"Oldenburg",%,K03458
2015,"Osnabrück",%,K03459
2015,"Vechta",%,K03460
2015,"Wesermarsch",%,K03461
2015,"Wittmund",%,K03462
2015,"Statistische Region Weser-Ems",%,K034
2015,"Niedersachsen",%,K030
2016,"Braunschweig, Stadt",%,K03101
2016,"Salzgitter, Stadt",%,K03102
2016,"Wolfsburg, Stadt",%,K03103
2016,"Gifhorn",%,K03151
2016,"Goslar",%,K03153
2016,"Helmstedt",%,K03154
2016,"Northeim",%,K03155
2016,"Peine",%,K03157
2016,"Wolfenbüttel",%,K03158
2016,"Göttingen",%,K03159
2016,"Statistische Region Braunschweig",%,K031
2016,"Hannover  Region",%,K03241
2016,"dav. Hannover, Lhst.",%,K03241001
2016,"dav. Hannover, Umland",%,K03241999
2016,"Diepholz",%,K03251
2016,"Hameln-Pyrmont",%,K03252
2016,"Hildesheim",%,K03254
2016,"Holzminden",%,K03255
2016,"Nienburg (Weser)",%,K03256
2016,"Schaumburg",%,K03257
2016,"Statistische Region Hannover",%,K032
2016,"Celle",%,K03351
2016,"Cuxhaven",%,K03352
2016,"Harburg",%,K03353
2016,"Lüchow-Dannenberg",%,K03354
2016,"Lüneburg",%,K03355
2016,"Osterholz",%,K03356
2016,"Rotenburg (Wümme)",%,K03357
2016,"Heidekreis",%,K03358
2016,"Stade",%,K03359
2016,"Uelzen",%,K03360
2016,"Verden",%,K03361
2016,"Statistische Region Lüneburg",%,K033
2016,"Delmenhorst, Stadt",%,K03401
2016,"Emden  Stadt",%,K03402
2016,"Oldenburg(Oldb), Stadt",%,K03403
