Migration und Teilhabe in Niedersachsen - Integrationsmonitoring 2021,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value,Value_2
2014,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1466,1466
2014,"Region Hannover",Ukraine,Anzahl,K03241,4617,4617
2014,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3616,3616
2014,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,1001,1001
2014,"Diepholz",Ukraine,Anzahl,K03251,163,163
2014,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,354,354
2014,"Hildesheim",Ukraine,Anzahl,K03254,197,197
2014,"Holzminden",Ukraine,Anzahl,K03255,42,42
2014,"Nienburg (Weser)",Ukraine,Anzahl,K03256,74,74
2014,"Schaumburg",Ukraine,Anzahl,K03257,98,98
2014,"Statistische Region Hannover",Ukraine,Anzahl,K032,5545,5545
2014,"Celle",Ukraine,Anzahl,K03351,115,115
2014,"Cuxhaven",Ukraine,Anzahl,K03352,72,72
2014,"Harburg",Ukraine,Anzahl,K03353,168,168
2014,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,26,26
2014,"Lüneburg",Ukraine,Anzahl,K03355,104,104
2014,"Osterholz",Ukraine,Anzahl,K03356,64,64
2014,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,83,83
2014,"Heidekreis",Ukraine,Anzahl,K03358,106,106
2014,"Stade",Ukraine,Anzahl,K03359,122,122
2014,"Uelzen",Ukraine,Anzahl,K03360,49,49
2014,"Verden",Ukraine,Anzahl,K03361,66,66
2014,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,975,975
2014,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,206,206
2014,"Emden, Stadt",Ukraine,Anzahl,K03402,37,37
2014,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,248,248
2014,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,596,596
2014,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,47,47
2014,"Ammerland",Ukraine,Anzahl,K03451,47,47
2014,"Aurich",Ukraine,Anzahl,K03452,39,39
2014,"Cloppenburg",Ukraine,Anzahl,K03453,138,138
2014,"Emsland",Ukraine,Anzahl,K03454,125,125
2014,"Friesland",Ukraine,Anzahl,K03455,25,25
2014,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,95,95
2014,"Leer",Ukraine,Anzahl,K03457,78,78
2014,"Oldenburg",Ukraine,Anzahl,K03458,59,59
2014,"Osnabrück",Ukraine,Anzahl,K03459,283,283
2014,"Vechta",Ukraine,Anzahl,K03460,128,128
2014,"Wesermarsch",Ukraine,Anzahl,K03461,53,53
2014,"Wittmund",Ukraine,Anzahl,K03462,10,10
2014,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2214,2214
2014,"Niedersachsen",Ukraine,Anzahl,K030,10200,10200
2015,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,398,398
2015,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,81,81
2015,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,153,153
2015,"Gifhorn",Ukraine,Anzahl,K03151,103,103
2015,"Goslar",Ukraine,Anzahl,K03153,101,101
2015,"Helmstedt",Ukraine,Anzahl,K03154,44,44
2015,"Northeim",Ukraine,Anzahl,K03155,75,75
2015,"Peine",Ukraine,Anzahl,K03157,68,68
2015,"Wolfenbüttel",Ukraine,Anzahl,K03158,45,45
2015,"Göttingen",Ukraine,Anzahl,K03159,446,446
2015,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1514,1514
2015,"Region Hannover",Ukraine,Anzahl,K03241,4489,4489
2015,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3514,3514
2015,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,975,975
2015,"Diepholz",Ukraine,Anzahl,K03251,167,167
2015,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,377,377
2015,"Hildesheim",Ukraine,Anzahl,K03254,214,214
2015,"Holzminden",Ukraine,Anzahl,K03255,45,45
2015,"Nienburg (Weser)",Ukraine,Anzahl,K03256,66,66
2015,"Schaumburg",Ukraine,Anzahl,K03257,98,98
2015,"Statistische Region Hannover",Ukraine,Anzahl,K032,5456,5456
2015,"Celle",Ukraine,Anzahl,K03351,125,125
2015,"Cuxhaven",Ukraine,Anzahl,K03352,87,87
2015,"Harburg",Ukraine,Anzahl,K03353,173,173
2015,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,24,24
2015,"Lüneburg",Ukraine,Anzahl,K03355,103,103
2015,"Osterholz",Ukraine,Anzahl,K03356,62,62
2015,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,89,89
2015,"Heidekreis",Ukraine,Anzahl,K03358,121,121
2015,"Stade",Ukraine,Anzahl,K03359,127,127
2015,"Uelzen",Ukraine,Anzahl,K03360,52,52
2015,"Verden",Ukraine,Anzahl,K03361,70,70
2015,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,1033,1033
2015,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,214,214
2015,"Emden, Stadt",Ukraine,Anzahl,K03402,38,38
2015,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,233,233
2015,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,584,584
2015,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,48,48
2015,"Ammerland",Ukraine,Anzahl,K03451,49,49
2015,"Aurich",Ukraine,Anzahl,K03452,50,50
2015,"Cloppenburg",Ukraine,Anzahl,K03453,148,148
2015,"Emsland",Ukraine,Anzahl,K03454,152,152
2015,"Friesland",Ukraine,Anzahl,K03455,36,36
2015,"Grafschaft Bentheim",Ukraine,Anzahl,K03456,85,85
2015,"Leer",Ukraine,Anzahl,K03457,84,84
2015,"Oldenburg",Ukraine,Anzahl,K03458,76,76
2015,"Osnabrück",Ukraine,Anzahl,K03459,295,295
2015,"Vechta",Ukraine,Anzahl,K03460,127,127
2015,"Wesermarsch",Ukraine,Anzahl,K03461,60,60
2015,"Wittmund",Ukraine,Anzahl,K03462,13,13
2015,"Statistische Region Weser-Ems",Ukraine,Anzahl,K034,2292,2292
2015,"Niedersachsen",Ukraine,Anzahl,K030,10295,10295
2016,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,395,395
2016,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,95,95
2016,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,145,145
2016,"Gifhorn",Ukraine,Anzahl,K03151,110,110
2016,"Goslar",Ukraine,Anzahl,K03153,105,105
2016,"Helmstedt",Ukraine,Anzahl,K03154,55,55
2016,"Northeim",Ukraine,Anzahl,K03155,95,95
2016,"Peine",Ukraine,Anzahl,K03157,70,70
2016,"Wolfenbüttel",Ukraine,Anzahl,K03158,50,50
2016,"Göttingen",Ukraine,Anzahl,K03159,460,460
2016,"Statistische Region Braunschweig",Ukraine,Anzahl,K031,1585,1585
2016,"Region Hannover",Ukraine,Anzahl,K03241,4385,4385
2016,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3400,3400
2016,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,985,985
2016,"Diepholz",Ukraine,Anzahl,K03251,160,160
2016,"Hameln-Pyrmont",Ukraine,Anzahl,K03252,375,375
2016,"Hildesheim",Ukraine,Anzahl,K03254,235,235
2016,"Holzminden",Ukraine,Anzahl,K03255,45,45
2016,"Nienburg (Weser)",Ukraine,Anzahl,K03256,65,65
2016,"Schaumburg",Ukraine,Anzahl,K03257,90,90
2016,"Statistische Region Hannover",Ukraine,Anzahl,K032,5360,5360
2016,"Celle",Ukraine,Anzahl,K03351,120,120
2016,"Cuxhaven",Ukraine,Anzahl,K03352,95,95
2016,"Harburg",Ukraine,Anzahl,K03353,180,180
2016,"Lüchow-Dannenberg",Ukraine,Anzahl,K03354,25,25
2016,"Lüneburg",Ukraine,Anzahl,K03355,100,100
2016,"Osterholz",Ukraine,Anzahl,K03356,60,60
2016,"Rotenburg (Wümme)",Ukraine,Anzahl,K03357,90,90
2016,"Heidekreis",Ukraine,Anzahl,K03358,120,120
2016,"Stade",Ukraine,Anzahl,K03359,145,145
2016,"Uelzen",Ukraine,Anzahl,K03360,55,55
2016,"Verden",Ukraine,Anzahl,K03361,75,75
2016,"Statistische Region Lüneburg",Ukraine,Anzahl,K033,1060,1060
2016,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,205,205
2016,"Emden, Stadt",Ukraine,Anzahl,K03402,40,40
2016,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,210,210
2016,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,570,570
