Year,Gebietseinheit,Land der Staatsangehörigkeit,Units,GeoCode,Value_2,Value
2014,Friesland,Ukraine,Anzahl,K03455,25.0,25.0
2014,Grafschaft Bentheim,Ukraine,Anzahl,K03456,95.0,95.0
2014,Leer,Ukraine,Anzahl,K03457,78.0,78.0
2014,Oldenburg,Ukraine,Anzahl,K03458,59.0,59.0
2014,Osnabrück,Ukraine,Anzahl,K03459,283.0,283.0
2014,Vechta,Ukraine,Anzahl,K03460,128.0,128.0
2014,Wesermarsch,Ukraine,Anzahl,K03461,53.0,53.0
2014,Wittmund,Ukraine,Anzahl,K03462,10.0,10.0
2014,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2214.0,2214.0
2014,Niedersachsen,Ukraine,Anzahl,K030,10200.0,10200.0
2015,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,398.0,398.0
2015,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,81.0,81.0
2015,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,153.0,153.0
2015,Gifhorn,Ukraine,Anzahl,K03151,103.0,103.0
2015,Goslar,Ukraine,Anzahl,K03153,101.0,101.0
2015,Helmstedt,Ukraine,Anzahl,K03154,44.0,44.0
2015,Northeim,Ukraine,Anzahl,K03155,75.0,75.0
2015,Peine,Ukraine,Anzahl,K03157,68.0,68.0
2015,Wolfenbüttel,Ukraine,Anzahl,K03158,45.0,45.0
2015,Göttingen,Ukraine,Anzahl,K03159,446.0,446.0
2015,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1514.0,1514.0
2015,Region Hannover,Ukraine,Anzahl,K03241,4489.0,4489.0
2015,"dav. Hannover, Lhst.",Ukraine,Anzahl,K03241001,3514.0,3514.0
2015,"dav. Hannover, Umland",Ukraine,Anzahl,K03241999,975.0,975.0
2015,Diepholz,Ukraine,Anzahl,K03251,167.0,167.0
2015,Hameln-Pyrmont,Ukraine,Anzahl,K03252,377.0,377.0
2015,Hildesheim,Ukraine,Anzahl,K03254,214.0,214.0
2015,Holzminden,Ukraine,Anzahl,K03255,45.0,45.0
2015,Nienburg (Weser),Ukraine,Anzahl,K03256,66.0,66.0
2015,Schaumburg,Ukraine,Anzahl,K03257,98.0,98.0
2015,Statistische Region Hannover,Ukraine,Anzahl,K032,5456.0,5456.0
2015,Celle,Ukraine,Anzahl,K03351,125.0,125.0
2015,Cuxhaven,Ukraine,Anzahl,K03352,87.0,87.0
2015,Harburg,Ukraine,Anzahl,K03353,173.0,173.0
2015,Lüchow-Dannenberg,Ukraine,Anzahl,K03354,24.0,24.0
2015,Lüneburg,Ukraine,Anzahl,K03355,103.0,103.0
2015,Osterholz,Ukraine,Anzahl,K03356,62.0,62.0
2015,Rotenburg (Wümme),Ukraine,Anzahl,K03357,89.0,89.0
2015,Heidekreis,Ukraine,Anzahl,K03358,121.0,121.0
2015,Stade,Ukraine,Anzahl,K03359,127.0,127.0
2015,Uelzen,Ukraine,Anzahl,K03360,52.0,52.0
2015,Verden,Ukraine,Anzahl,K03361,70.0,70.0
2015,Statistische Region Lüneburg,Ukraine,Anzahl,K033,1033.0,1033.0
2015,"Delmenhorst, Stadt",Ukraine,Anzahl,K03401,214.0,214.0
2015,"Emden, Stadt",Ukraine,Anzahl,K03402,38.0,38.0
2015,"Oldenburg (Oldb), Stadt",Ukraine,Anzahl,K03403,233.0,233.0
2015,"Osnabrück, Stadt",Ukraine,Anzahl,K03404,584.0,584.0
2015,"Wilhelmshaven, Stadt",Ukraine,Anzahl,K03405,48.0,48.0
2015,Ammerland,Ukraine,Anzahl,K03451,49.0,49.0
2015,Aurich,Ukraine,Anzahl,K03452,50.0,50.0
2015,Cloppenburg,Ukraine,Anzahl,K03453,148.0,148.0
2015,Emsland,Ukraine,Anzahl,K03454,152.0,152.0
2015,Friesland,Ukraine,Anzahl,K03455,36.0,36.0
2015,Grafschaft Bentheim,Ukraine,Anzahl,K03456,85.0,85.0
2015,Leer,Ukraine,Anzahl,K03457,84.0,84.0
2015,Oldenburg,Ukraine,Anzahl,K03458,76.0,76.0
2015,Osnabrück,Ukraine,Anzahl,K03459,295.0,295.0
2015,Vechta,Ukraine,Anzahl,K03460,127.0,127.0
2015,Wesermarsch,Ukraine,Anzahl,K03461,60.0,60.0
2015,Wittmund,Ukraine,Anzahl,K03462,13.0,13.0
2015,Statistische Region Weser-Ems,Ukraine,Anzahl,K034,2292.0,2292.0
2015,Niedersachsen,Ukraine,Anzahl,K030,10295.0,10295.0
2016,"Braunschweig, Stadt",Ukraine,Anzahl,K03101,395.0,395.0
2016,"Salzgitter, Stadt",Ukraine,Anzahl,K03102,95.0,95.0
2016,"Wolfsburg, Stadt",Ukraine,Anzahl,K03103,145.0,145.0
2016,Gifhorn,Ukraine,Anzahl,K03151,110.0,110.0
2016,Goslar,Ukraine,Anzahl,K03153,105.0,105.0
2016,Helmstedt,Ukraine,Anzahl,K03154,55.0,55.0
2016,Northeim,Ukraine,Anzahl,K03155,95.0,95.0
2016,Peine,Ukraine,Anzahl,K03157,70.0,70.0
2016,Wolfenbüttel,Ukraine,Anzahl,K03158,50.0,50.0
2016,Göttingen,Ukraine,Anzahl,K03159,460.0,460.0
2016,Statistische Region Braunschweig,Ukraine,Anzahl,K031,1585.0,1585.0
2016,Region Hannover,Ukraine,Anzahl,K03241,4385.0,4385.0
