Year,Altersgruppe,Units,Geschlecht,Value
20 – 40,%,Weiblich,23.8062245439856,
40 – 65,%,Weiblich,14.9257833294114,
65 – 80,%,Weiblich,8.24052723524916,
80 und älter,%,Weiblich,5.70748884504835,
Insgesamt,%,Weiblich,17.4435919675689,
0 – 3,%,Weiblich,30.0469688060341,
3 – 6,%,Weiblich,32.8550684899486,
6 – 15,%,Weiblich,27.1782647757982,
15 – 20,%,Weiblich,22.8519837472064,
20 – 40,%,Weiblich,23.3856771031243,
40 – 65,%,Weiblich,14.9553805990246,
65 – 80,%,Weiblich,7.28726601782195,
80 und älter,%,Weiblich,5.36337304784096,
Insgesamt,%,Weiblich,17.1181395532618,
0 – 3,%,Weiblich,31.4975426635436,
3 – 6,%,Weiblich,28.6464992651816,
6 – 15,%,Weiblich,25.2848442704952,
15 – 20,%,Weiblich,21.1806276788343,
20 – 40,%,Weiblich,22.5986420362912,
40 – 65,%,Weiblich,14.2173309483098,
65 – 80,%,Weiblich,7.45767376805026,
80 und älter,%,Weiblich,4.39704779019189,
Insgesamt,%,Weiblich,16.3594039577566,
0 – 3,%,Insgesamt,38.8822166261711,
3 – 6,%,Insgesamt,34.3587050087605,
6 – 15,%,Insgesamt,35.30432871337,
15 – 20,%,Insgesamt,29.5341228863347,
20 – 40,%,Insgesamt,29.4179748134184,
40 – 65,%,Insgesamt,18.71777792316,
65 – 80,%,Insgesamt,11.1339417984809,
80 und älter,%,Insgesamt,6.87906754345024,
Insgesamt,%,Insgesamt,22.318593133632,
0 – 3,%,Insgesamt,37.1486382000789,
3 – 6,%,Insgesamt,37.1650678949092,
6 – 15,%,Insgesamt,34.517165523803,
15 – 20,%,Insgesamt,28.5927758012738,
20 – 40,%,Insgesamt,29.5093150964127,
40 – 65,%,Insgesamt,18.5439124013099,
65 – 80,%,Insgesamt,10.6166449594968,
80 und älter,%,Insgesamt,7.09102867990764,
Insgesamt,%,Insgesamt,22.0630280242962,
0 – 3,%,Insgesamt,36.5913190925114,
3 – 6,%,Insgesamt,35.5959389730139,
6 – 15,%,Insgesamt,33.3385207495683,
15 – 20,%,Insgesamt,27.9239954996339,
20 – 40,%,Insgesamt,27.4756295576654,
40 – 65,%,Insgesamt,17.4360491650684,
65 – 80,%,Insgesamt,10.1519965396788,
80 und älter,%,Insgesamt,8.04107499749801,
Insgesamt,%,Insgesamt,21.0840615707772,
0 – 3,%,Insgesamt,36.3,
3 – 6,%,Insgesamt,34.8,
6 – 15,%,Insgesamt,31,
15 – 20,%,Insgesamt,24.6,
20 – 40,%,Insgesamt,25.9,
40 – 65,%,Insgesamt,16.3,
65 – 80,%,Insgesamt,9.5,
80 und älter,%,Insgesamt,7,
Insgesamt,%,Insgesamt,19.6,
0 – 3,%,Insgesamt,50.0828890802758,
3 – 6,%,Insgesamt,47.2200212430412,
6 – 15,%,Insgesamt,40.7624220904939,
15 – 20,%,Insgesamt,29.7454437504589,
20 – 40,%,Insgesamt,29.9304407601658,
40 – 65,%,Insgesamt,17.930451552983,
65 – 80,%,Insgesamt,9.78326013604768,
80 und älter,%,Insgesamt,6.09808937487972,
Insgesamt,%,Insgesamt,21.7083527046933,
0 – 3,%,Insgesamt,32.3119077148002,
3 – 6,%,Insgesamt,31.1131724995741,
6 – 15,%,Insgesamt,28.1315959260795,
15 – 20,%,Insgesamt,22.5238549302191,
20 – 40,%,Insgesamt,22.2871985669237,
40 – 65,%,Insgesamt,14.8711553371148,
65 – 80,%,Insgesamt,8.52148959056846,
80 und älter,%,Insgesamt,6.13317589084716,
Insgesamt,%,Insgesamt,17.3803700869361,
0 – 3,%,Insgesamt,32.3119077148002,
3 – 6,%,Insgesamt,31.1131724995741,
6 – 15,%,Insgesamt,28.1315959260795,
15 – 20,%,Insgesamt,22.5238549302191,
20 – 40,%,Insgesamt,22.2871985669237,
40 – 65,%,Insgesamt,14.8711553371148,
65 – 80,%,Insgesamt,8.52148959056846,
80 und älter,%,Insgesamt,6.13317589084716,
Insgesamt,%,Insgesamt,17.3803700869361,
0 – 3,%,Insgesamt,31.6888916654676,
3 – 6,%,Insgesamt,31.7188314340957,
6 – 15,%,Insgesamt,28.3539271881529,
15 – 20,%,Insgesamt,23.1540901315347,
20 – 40,%,Insgesamt,23.5185470722243,
40 – 65,%,Insgesamt,14.8368516870726,
65 – 80,%,Insgesamt,8.974931737308,
80 und älter,%,Insgesamt,5.92045529284142,
Insgesamt,%,Insgesamt,17.8477696014365,
0 – 3,%,Insgesamt,31.6911041447766,
3 – 6,%,Insgesamt,30.8047089998399,
6 – 15,%,Insgesamt,27.2828418861205,
15 – 20,%,Insgesamt,23.0465405346105,
20 – 40,%,Insgesamt,23.2135753097192,
40 – 65,%,Insgesamt,14.6416909932771,
65 – 80,%,Insgesamt,8.29636203808783,
80 und älter,%,Insgesamt,5.58978467262203,
Insgesamt,%,Insgesamt,17.5106142734541,
0 – 3,%,Insgesamt,31.8646031091345,
3 – 6,%,Insgesamt,30.7831513220131,
6 – 15,%,Insgesamt,25.0216819284248,
15 – 20,%,Insgesamt,21.6886629563599,
20 – 40,%,Insgesamt,22.2599815096389,
40 – 65,%,Insgesamt,14.316212698698,
65 – 80,%,Insgesamt,7.90861116488602,
80 und älter,%,Insgesamt,4.98633581681347,
Insgesamt,%,Insgesamt,16.8480059648252,
