Year,Gebietseinheit,GeoCode,Value
2012,Wolfsburg Stadt,K03103,10.4
2012,Gifhorn,K03151,4.4
2012,Goslar,K03153,5.3
2012,Helmstedt,K03154,3.7
2012,Northeim,K03155,3.7
2012,Peine,K03157,5.0
2012,Wolfenbüttel,K03158,3.9
2012,Göttingen,K03159,6.0
2012,Statistische Region Braunschweig,K031,6.2
2012,Hannover Region,K03241,10.7
2012,Hannover Landeshauptstadt,K03241001,15.2
2012,Diepholz,K03251,4.3
2012,Hameln-Pyrmont,K03252,6.9
2012,Hildesheim,K03254,5.2
2012,Holzminden,K03255,4.2
2012,Nienburg (Weser),K03256,4.4
2012,Schaumburg,K03257,5.4
2012,Statistische Region Hannover,K032,8.1
2012,Celle,K03351,4.5
2012,Cuxhaven,K03352,4.1
2012,Harburg,K03353,4.7
2012,Lüchow-Dannenberg,K03354,3.2
2012,Lüneburg,K03355,3.9
2012,Osterholz,K03356,3.7
2012,Rotenburg (Wümme),K03357,4.1
2012,Heidekreis,K03358,4.6
2012,Stade,K03359,4.8
2012,Uelzen,K03360,2.8
2012,Verden,K03361,5.0
2012,Statistische Region Lüneburg,K033,4.3
2012,Delmenhorst.Stadt,K03401,8.9
2012,Emden Stadt,K03402,5.5
2012,Oldenburg (Oldb) Stadt,K03403,6.3
2012,Osnabrück Stadt,K03404,10.2
2012,Wilhelmshaven Stadt,K03405,5.8
2012,Ammerland,K03451,3.6
2012,Aurich,K03452,3.0
2012,Cloppenburg,K03453,6.6
2012,Emsland,K03454,6.7
2012,Friesland,K03455,2.7
2012,Grafschaft Bentheim,K03456,12.5
2012,Leer,K03457,4.7
2012,Oldenburg,K03458,5.0
2012,Osnabrück,K03459,5.5
2012,Vechta,K03460,8.3
2012,Wesermarsch,K03461,5.2
2012,Wittmund,K03462,2.5
2012,Statistische Region Weser-Ems,K034,6.2
2012,Niedersachsen,K030,6.3
2013,Braunschweig Stadt,K03101,8.9
2013,Salzgitter Stadt,K03102,10.7
2013,Wolfsburg Stadt,K03103,11.4
2013,Gifhorn,K03151,4.6
2013,Goslar,K03153,5.7
2013,Helmstedt,K03154,4.0
2013,Northeim,K03155,4.0
2013,Peine,K03157,5.2
