Year,Series,Land der Staatsangehörigkeit,Geschlecht,Units,GeoCode,Value
2023,Alle Länder,St. Vincent und die Grenadinen,weiblich,Anzahl,W369,
2023,Alle Länder,St. Kitts und Nevis,weiblich,Anzahl,W370,
2023,Alle Länder,Trinidad und Tobago,weiblich,Anzahl,W371,
2023,Alle Länder,Hongkong,weiblich,Anzahl,W411,
2023,Alle Länder,Jemen,weiblich,Anzahl,W421,
2023,Alle Länder,Bahrain,weiblich,Anzahl,W424,
2023,Alle Länder,Bhutan,weiblich,Anzahl,W426,
2023,Alle Länder,Myanmar,weiblich,Anzahl,W427,
2023,Alle Länder,Brunei Darussalam,weiblich,Anzahl,W429,
2023,Alle Länder,"Korea, Demokratische Volksrepublik",weiblich,Anzahl,W434,
2023,Alle Länder,"Jemen, Demokratische Volksrepublik",weiblich,Anzahl,W443,
2023,Alle Länder,Kambodscha,weiblich,Anzahl,W446,
2023,Alle Länder,Katar,weiblich,Anzahl,W447,
2023,Alle Länder,Kuwait,weiblich,Anzahl,W448,
2023,Alle Länder,"Laos, Dem. Volksrepublik",weiblich,Anzahl,W449,
2023,Alle Länder,Kirgisistan,weiblich,Anzahl,W450,
2023,Alle Länder,Malediven,weiblich,Anzahl,W454,
2023,Alle Länder,Oman,weiblich,Anzahl,W456,
2023,Alle Länder,Mongolei,weiblich,Anzahl,W457,
2023,Alle Länder,Vereinigte Arabische Emirate,weiblich,Anzahl,W469,
2023,Alle Länder,Tadschikistan,weiblich,Anzahl,W470,
2023,Alle Länder,Turkmenistan,weiblich,Anzahl,W471,
2023,Alle Länder,Saudi-Arabien,weiblich,Anzahl,W472,
2023,Alle Länder,Singapur,weiblich,Anzahl,W474,
2023,Alle Länder,Usbekistan,weiblich,Anzahl,W477,
2023,Alle Länder,Australien,weiblich,Anzahl,W523,
2023,Alle Länder,Salomonen,weiblich,Anzahl,W524,
2023,Alle Länder,Nördliche Marianen,weiblich,Anzahl,W525,
2023,Alle Länder,Fidschi,weiblich,Anzahl,W526,
2023,Alle Länder,Cookinseln,weiblich,Anzahl,W527,
2023,Alle Länder,Kiribati,weiblich,Anzahl,W530,
2023,Alle Länder,Nauru,weiblich,Anzahl,W531,
2023,Alle Länder,Vanuatu,weiblich,Anzahl,W532,
2023,Alle Länder,Niue,weiblich,Anzahl,W533,
2023,Alle Länder,Neuseeland,weiblich,Anzahl,W536,
2023,Alle Länder,Palau,weiblich,Anzahl,W537,
2023,Alle Länder,Papua-Neuguinea,weiblich,Anzahl,W538,
2023,Alle Länder,Tuvalu,weiblich,Anzahl,W540,
2023,Alle Länder,Tonga,weiblich,Anzahl,W541,
2023,Alle Länder,Samoa,weiblich,Anzahl,W543,
