Year,Gebietseinheit,Nationalität,GeoCode,Value
2008,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,734
2008,Celle,Ausländerinnen und Ausländer,K03351,33
2008,Cuxhaven,Ausländerinnen und Ausländer,K03352,44
2008,Harburg,Ausländerinnen und Ausländer,K03353,62
2008,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,3
2008,Lüneburg,Ausländerinnen und Ausländer,K03355,21
2008,Osterholz,Ausländerinnen und Ausländer,K03356,22
2008,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,23
2008,Heidekreis,Ausländerinnen und Ausländer,K03358,22
2008,Stade,Ausländerinnen und Ausländer,K03359,38
2008,Uelzen,Ausländerinnen und Ausländer,K03360,21
2008,Verden,Ausländerinnen und Ausländer,K03361,33
2008,Statistische Region Lüneburg,Ausländerinnen und Ausländer,K033,322
2008,Delmenhorst  Stadt,Ausländerinnen und Ausländer,K03401,25
2008,Emden  Stadt,Ausländerinnen und Ausländer,K03402,17
2008,Oldenburg(Oldb)  Stadt,Ausländerinnen und Ausländer,K03403,80
2008,Osnabrück  Stadt,Ausländerinnen und Ausländer,K03404,89
2008,Wilhelmshaven  Stadt,Ausländerinnen und Ausländer,K03405,9
2008,Ammerland,Ausländerinnen und Ausländer,K03451,22
2008,Aurich,Ausländerinnen und Ausländer,K03452,33
2008,Cloppenburg,Ausländerinnen und Ausländer,K03453,39
2008,Emsland,Ausländerinnen und Ausländer,K03454,108
2008,Friesland,Ausländerinnen und Ausländer,K03455,15
2008,Grafschaft Bentheim,Ausländerinnen und Ausländer,K03456,100
2008,Leer,Ausländerinnen und Ausländer,K03457,36
2008,Oldenburg,Ausländerinnen und Ausländer,K03458,28
2008,Osnabrück,Ausländerinnen und Ausländer,K03459,83
2008,Vechta,Ausländerinnen und Ausländer,K03460,88
2008,Wesermarsch,Ausländerinnen und Ausländer,K03461,26
2008,Wittmund,Ausländerinnen und Ausländer,K03462,17
2008,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,815
2008,Niedersachsen,Ausländerinnen und Ausländer,K030,2318
2009,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,63
2009,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,20
2009,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,28
2009,Gifhorn,Ausländerinnen und Ausländer,K03151,12
2009,Goslar,Ausländerinnen und Ausländer,K03153,43
2009,Helmstedt,Ausländerinnen und Ausländer,K03154,14
2009,Northeim,Ausländerinnen und Ausländer,K03155,35
2009,Peine,Ausländerinnen und Ausländer,K03157,23
2009,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,25
2009,Göttingen,Ausländerinnen und Ausländer,K03159,115
2009,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,378
2009,Hannover  Region,Ausländerinnen und Ausländer,K03241,394
2009,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,246
2009,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,148
2009,Diepholz,Ausländerinnen und Ausländer,K03251,61
2009,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,39
2009,Hildesheim,Ausländerinnen und Ausländer,K03254,82
2009,Holzminden,Ausländerinnen und Ausländer,K03255,14
2009,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,19
2009,Schaumburg,Ausländerinnen und Ausländer,K03257,6
2009,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,615
2009,Celle,Ausländerinnen und Ausländer,K03351,32
2009,Cuxhaven,Ausländerinnen und Ausländer,K03352,47
2009,Harburg,Ausländerinnen und Ausländer,K03353,58
2009,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,10
2009,Lüneburg,Ausländerinnen und Ausländer,K03355,29
2009,Osterholz,Ausländerinnen und Ausländer,K03356,22
2009,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,11
2009,Heidekreis,Ausländerinnen und Ausländer,K03358,22
2009,Stade,Ausländerinnen und Ausländer,K03359,48
2009,Uelzen,Ausländerinnen und Ausländer,K03360,21
2009,Verden,Ausländerinnen und Ausländer,K03361,19
2009,Statistische Region Lüneburg,Ausländerinnen und Ausländer,K033,319
2009,Delmenhorst  Stadt,Ausländerinnen und Ausländer,K03401,24
2009,Emden  Stadt,Ausländerinnen und Ausländer,K03402,17
2009,Oldenburg(Oldb)  Stadt,Ausländerinnen und Ausländer,K03403,101
2009,Osnabrück  Stadt,Ausländerinnen und Ausländer,K03404,49
2009,Wilhelmshaven  Stadt,Ausländerinnen und Ausländer,K03405,14
2009,Ammerland,Ausländerinnen und Ausländer,K03451,19
2009,Aurich,Ausländerinnen und Ausländer,K03452,30
2009,Cloppenburg,Ausländerinnen und Ausländer,K03453,24
2009,Emsland,Ausländerinnen und Ausländer,K03454,85
2009,Friesland,Ausländerinnen und Ausländer,K03455,18
2009,Grafschaft Bentheim,Ausländerinnen und Ausländer,K03456,92
2009,Leer,Ausländerinnen und Ausländer,K03457,36
2009,Oldenburg,Ausländerinnen und Ausländer,K03458,24
2009,Osnabrück,Ausländerinnen und Ausländer,K03459,69
2009,Vechta,Ausländerinnen und Ausländer,K03460,63
2009,Wesermarsch,Ausländerinnen und Ausländer,K03461,19
2009,Wittmund,Ausländerinnen und Ausländer,K03462,9
2009,Statistische Region Weser-Ems,Ausländerinnen und Ausländer,K034,693
2009,Niedersachsen,Ausländerinnen und Ausländer,K030,2005
2010,Braunschweig  Stadt,Ausländerinnen und Ausländer,K03101,87
2010,Salzgitter  Stadt,Ausländerinnen und Ausländer,K03102,27
2010,Wolfsburg  Stadt,Ausländerinnen und Ausländer,K03103,45
2010,Gifhorn,Ausländerinnen und Ausländer,K03151,8
2010,Goslar,Ausländerinnen und Ausländer,K03153,32
2010,Helmstedt,Ausländerinnen und Ausländer,K03154,8
2010,Northeim,Ausländerinnen und Ausländer,K03155,35
2010,Peine,Ausländerinnen und Ausländer,K03157,26
2010,Wolfenbüttel,Ausländerinnen und Ausländer,K03158,23
2010,Göttingen,Ausländerinnen und Ausländer,K03159,127
2010,Statistische Region Braunschweig,Ausländerinnen und Ausländer,K031,418
2010,Hannover  Region,Ausländerinnen und Ausländer,K03241,397
2010,dav. Hannover  Lhst.,Ausländerinnen und Ausländer,K03241001,258
2010,dav. Hannover  Umland,Ausländerinnen und Ausländer,K03241999,139
2010,Diepholz,Ausländerinnen und Ausländer,K03251,54
2010,Hameln-Pyrmont,Ausländerinnen und Ausländer,K03252,39
2010,Hildesheim,Ausländerinnen und Ausländer,K03254,91
2010,Holzminden,Ausländerinnen und Ausländer,K03255,14
2010,Nienburg (Weser),Ausländerinnen und Ausländer,K03256,15
2010,Schaumburg,Ausländerinnen und Ausländer,K03257,12
2010,Statistische Region Hannover,Ausländerinnen und Ausländer,K032,622
2010,Celle,Ausländerinnen und Ausländer,K03351,33
2010,Cuxhaven,Ausländerinnen und Ausländer,K03352,47
2010,Harburg,Ausländerinnen und Ausländer,K03353,60
2010,Lüchow-Dannenberg,Ausländerinnen und Ausländer,K03354,4
2010,Lüneburg,Ausländerinnen und Ausländer,K03355,21
2010,Osterholz,Ausländerinnen und Ausländer,K03356,24
2010,Rotenburg (Wümme),Ausländerinnen und Ausländer,K03357,10
2010,Heidekreis,Ausländerinnen und Ausländer,K03358,18
2010,Stade,Ausländerinnen und Ausländer,K03359,29
2010,Uelzen,Ausländerinnen und Ausländer,K03360,21
2010,Verden,Ausländerinnen und Ausländer,K03361,22
2010,Statistische Region Lüneburg,Ausländerinnen und Ausländer,K033,289
